video_id,channel_id,channel_title,title,description,published_at,duration,view_count,like_count,fave_count,comment_count
laeLF5r9XxU,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews ,Begini Momen Ferdy Sambo Tertangkap Kamera saat Bentak Pengemudi Ojol | tvOne Minute,"Jakarta, https://www.tvOnenews.com - Ferdy Sambo terekam kamera bentak pengemudi ojek online (ojol) yang sedang demo kala masih berpangkat Komisaris Besar Polisi (Kombes). Saat itu, Ferdy Sambo bersama dengan mantan Direktur Reserse Kriminal Umum Polda Metro Jaya, Krishna Murti. Diketahui, momen ini terjadi saat pengamanan aksi unjuk rasa di Ibu Kota. (VDVC-LH)



Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live",2022-09-06T11:35:05Z,PT2M12S,4777858,12405,0,6707
ti78Qhk973o,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,"Ikut Geledah Rumah Ajudan Ferdy Sambo, Ketua RT Temukan Foto Berdua Sambo dan Ajudan","JAKARTA, KOMPAS TV  Penyidik dari kepolisian geledah sejumlah rumah di kawasan Duren Tiga, Jakarta Selatan, pada Selasa (9/8).

Salah satu rumah yang digeledah adalah rumah di Jalan Duren Tiga Utara II No. 54, yang belakangan diketahui jadi tempat tinggal ajudan Ferdy Sambo.

Ketua RT setempat Ahmad Nurzaman menyebut Brigadir J atau Yoshua jadi salah satu ajudan yang tinggal di rumah tersebut.

Baca Juga Pengacara: Ferdy Sambo Jaga dan Lindungi Marwah Kehormatan Keluarga di https://www.kompas.tv/article/317427/pengacara-ferdy-sambo-jaga-dan-lindungi-marwah-kehormatan-keluarga

Namun Nurzaman menyebut bahwa penghuni rumah eksklusif, dan dirinya tak pernah berkomunikasi langsung.

""Mereka ini eksklusif, karena yang punya rumah ini enggak pernah laporan kepada RT,"" ungkap Nurzaman, Selasa (9/8).

Saat mendampingi penggeledahan rumah, Nurzaman baru mengetahui bahwa rumah tersebut adalah rumah ajudan eks Kadiv Propam Irjen Ferdy Sambo.

""Baru ini (tahu rumah ajudan Ferdy Sambo) saya lihat, begitu saya lihat fotonya, kok ada foto dia ini. Karena enggak pernah ada laporan,"" ungkap Nurzaman.

Ia pun menyebut melihat terpampang foto berdua Ferdy Sambo dan ajudannya di dalam rumah yang berisikan tiga kamar tersebut.

""Yang foro sendiri ada, yang foto sama ajudan ada. Berdua doang,"" katanya.

Meski tak pernah berkomunikasi, Nurzaman selaku Ketua RT menyebut beberapa kali melihat Brigadir J atau Yoshua tempati rumah milik Ferdy Sambo tersebut.

Video Editor: Febi Ramdani

Artikel ini bisa dilihat di :  https://www.kompas.tv/article/317436/ikut-geledah-rumah-ajudan-ferdy-sambo-ketua-rt-temukan-foto-berdua-sambo-dan-ajudan",2022-08-10T02:01:56Z,PT4M16S,4710477,24131,0,3606
3PDZS9OgrHE,UCB1fvlA5xmLJ0tZblpoTuaQ,VIVA.CO.ID,Kerasnya Irjen Sambo Ancam Polisi Bengal: Kita Hajar!! || THE INTERVIEW,"VIVA - Kepolisian Republik Indonesia (Polri) sempat menjadi sorotan publik karena ulah oknum anggota melakukan perbuatan melawan hukum hingga viral di media sosial. Kepala Divisi Propam Polri, Irjen Ferdy Sambo, pun menyatakan siap menindaklanjuti semua oknum polisi yang menyimpang dengan cepat. #TheInterview

Baca berita terbaru, terkini dan terpopuler disini https://www.viva.co.id/

Timecode:
00:00 Opening
01:42 Profil Ferdy Sambo
04:30 Analisa Sambo Soal Propam
10:10 Langkah Wujudkan Komitmen Polri
16:49 Perubahan Baik Polri
21:58 Tindakan Emosional Polisi 
31:22 Soal Anggota Melanggar
40:58 Penurunan Jumlah Pelanggaran
47:56 Prediksi Peningkatan Pelanggaran
51:19 Faktor Pelanggar Menyimpang
53:02 Kasus Pidana Polri
54:19 Closing",2021-11-17T10:00:15Z,PT55M47S,4177455,16627,0,8463
UCXZ7WSZxpk,UCSV7FgMcSdOWxeSCYCD3UOA,Warta Kota Production,Susno Duadji Bongkar Seberapa Berkuasanya Seorang Ferdy Sambo di Polri,"https://wartakota.tribunnews.com/2022/08/31/susno-duadji-tak-paham-motif-ferdy-sambo-marah-tindakan-apa-yang-membuat-bu-putri-terbaring

Susno Duadji Bongkar Seberapa Berkuasanya Seorang Ferdy Sambo di Polri
#susnoduadji #ferdysambo #brigadirj #polri",2022-08-23T13:58:02Z,PT53M49S,4073186,37726,0,3668
YFUpJtctq00,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,"Debat Sengit, Richard Skakmat Pengacara Ferdy Sambo: Saya Terus Didoktrin Klien Bapak soal Skenario","TRIBUN-VIDEO.COM - Sempat ada perdebatan dengan nada keras dalam persidangan kasus pembunuhan Brigadir J yang digelar di Pengadilan Negeri Jakarta Selatan pada Selasa (13/12).

Perdebatan itu bermula dari pertanyaan yang semula disampaikan Pengacara Ferdy Sambo yakni Arman Hanis.

Arman Hanis awalnya menanyakan soal BAP Bharada E yang berubah-ubah keterangan sejak pertama kali diperiksa.

Bharada E lantas menegaskan ia akan kembali menjelaskan soal BAP itu agar tidak ada kesalahpahaman soal BAP yang dituliskannya.

Bharada E pun tegas mengatakan, adanya perbedaan BAP satu di antaranya adalah karena doktrin atau tekanan yang diberikan oleh Ferdy Sambo pada Richard selama kasus pembunuhan Brigadir J bergulir.

(Tribun-Video.com/Nila)


#beritaterbaru #beritaterkini #beritaviral #live #breakingnews #putricandrawathi #bharadae #kuatmaruf #brigadiryosua #rickyrizal #sidang #cctv #pnjaksel #pengadilan",2022-12-13T06:48:47Z,PT5M45S,3859564,18911,0,5798
RR_fpUrS9MU,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,[FULL] Hakim Cecar Ferdy Sambo di Sidang Pemeriksaan Terdakwa Terkait Hal Ini..,"JAKARTA, KOMPAS.TV  Terdakwa Ferdy Sambo beri kesaksian dalam sidang pemeriksaan terdakwa pembunuhan berencana Yosua di Pengadilan Negeri Jakarta Selatan pada Selasa (10/1)

Dalam kesempatan itu, Sambo menceritakan kembali kronologi penembakan dan saat beri perintah tembak kepada Richard Eliezer.

Baca Juga Momen Ferdy Sambo dan Putri Candrawathi Menangis Saat di Persidangan Pemeriksaan Terdakwa di https://www.kompas.tv/article/368042/momen-ferdy-sambo-dan-putri-candrawathi-menangis-saat-di-persidangan-pemeriksaan-terdakwa

Hakim sempat mencecar Ferdy Sambo terkait perintah saat di rumah Saguling dan saat perintah hajar chard saat kejadian

Video Editor: Bara Bima

Artikel ini bisa dilihat di :  https://www.kompas.tv/article/368073/full-hakim-cecar-ferdy-sambo-di-sidang-pemeriksaan-terdakwa-terkait-hal-ini",2023-01-14T10:21:47Z,PT1H42M1S,3815578,19164,0,4944
h7PUhPoGCqs,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,"Megawati Ngaku Tak Percaya Motif Ferdy Sambo: Saya Enggak Percaya, Tapi Saya Enggak Mau Cerita","BACA SELENGKAPNYA https://video.tribunnews.com/view/606820/megawati-ngaku-tak-percaya-motif-ferdy-sambo-saya-enggak-percaya-tapi-saya-enggak-mau-cerita

TRIBUN-VIDEO.COM - Presiden Kelima RI Megawati Soekarnoputri hadir dalam acara Seminar Haluan Pembangunan Bali Masa Depan 100 Tahun Bali Era Baru, Jumat (5/5/2023).

Megawati menjelaskan bahwa ia sudah meminta Kapolri Jenderal Listyo Sigit menambah personel menjadi 1 juta personel.

HOST: NILA IRDA
VP: LUTFI TURSILOWATI N.A

#beritaterbaru #beritaterkini #beritaviral #live #breakingnews #megawati #pdiperjuangan #ferdysambo #viraldimediasosial",2023-05-05T10:26:02Z,PT54S,3344646,24166,0,3144
NBh05n2f0aw,UCC-YG6gBZNmdxYfQZnwCX4A,Serambinews,Hakim Temukan Fakta Baru di Rumah Ferdy Sambo,"SERAMBINEWS.COM - Peninjauan Ketua Majelis Hakim Pengadilan Negeri Jakarta Selatan Wahyu Iman Santoso di rumah Ferdy Sambo menemukan adanya fakta baru.

Hakim Wahyu disebut menemukan adanya CCTV yang terletak di rumah Jalan Saguling, Jakarta Selatan tersebut.

tonton selengkapnya di https://www.youtube.com/watch?v=ZeIt0pNF9e8&ab_channel=Serambinews

#shorts #reelsfb  #reels #ferdysambo #viral #brigadirj 
==============================================
Syedara Lon, jangan lupa SUBSCRIBE, SHARE, and COMMENT.

Update video viral lainnya: http://bit.ly/serambivideo
Update berita terpopuler lainnya: http://bit.ly/SerambinewsPopuler
Update info terkini via Serambinews.com: https://aceh.tribunnews.com/

Follow akun Instagram https://bit.ly/IGserambinews
Follow akun Twitter http://bit.ly/TwitterSerambinews
Follow dan like fanpage Facebook http://bit.ly/FBserambinews
Follow akun TikTok http://bit.ly/tiktokserambinews",2023-01-04T14:52:27Z,PT31S,3176108,17346,0,179
lra1nbwzmv0,UCJmNywTIJojwjCKzfs0lgNw,Bisniscom,Pemecatan Ferdy Sambo Akan Dipimpin Presiden? Ini alasannya!,"#jokowi  #ferdysambo #PTDH #polri 



Ikuti terus perkembangan berita - berita terkini hanya di: 
Portal berita https://www.bisnis.com/ 
Instagram https://www.instagram.com/bisniscom/ 
facebook https://www.facebook.com/wwwbisniscom",2022-08-29T07:47:52Z,PT52S,3192276,40203,0,1739
YFUpJtctq00,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,"Debat Sengit, Richard Skakmat Pengacara Ferdy Sambo: Saya Terus Didoktrin Klien Bapak soal Skenario","TRIBUN-VIDEO.COM - Sempat ada perdebatan dengan nada keras dalam persidangan kasus pembunuhan Brigadir J yang digelar di Pengadilan Negeri Jakarta Selatan pada Selasa (13/12).

Perdebatan itu bermula dari pertanyaan yang semula disampaikan Pengacara Ferdy Sambo yakni Arman Hanis.

Arman Hanis awalnya menanyakan soal BAP Bharada E yang berubah-ubah keterangan sejak pertama kali diperiksa.

Bharada E lantas menegaskan ia akan kembali menjelaskan soal BAP itu agar tidak ada kesalahpahaman soal BAP yang dituliskannya.

Bharada E pun tegas mengatakan, adanya perbedaan BAP satu di antaranya adalah karena doktrin atau tekanan yang diberikan oleh Ferdy Sambo pada Richard selama kasus pembunuhan Brigadir J bergulir.

(Tribun-Video.com/Nila)


#beritaterbaru #beritaterkini #beritaviral #live #breakingnews #putricandrawathi #bharadae #kuatmaruf #brigadiryosua #rickyrizal #sidang #cctv #pnjaksel #pengadilan",2022-12-13T06:48:47Z,PT5M45S,3859551,18911,0,5798
